driver_id,total_fare,avg_distance
85,23.43,11.01
53,81.2,9.35
78,32.48,32.61
28,19.71,19.41
27,40.05,11.58
44,12.64,32.39
12,77.04,12.72
91,121.63,27.85
22,18.86,25.21
47,130.34,34.85
1,85.32,38.36
16,141.78,19.54
3,86.51,19.83
40,44.1,49.89
57,114.32000000000001,22.685
48,140.14,35.245000000000005
19,76.54,15.26
92,76.6,17.84
41,120.22,37.26
15,94.62,22.373333333333335
43,44.47,27.28
61,74.97,14.43
35,5.15,41.46
7,147.04,4.03
69,29.81,44.23
63,128.0,18.79
50,132.23,40.37
80,48.1,22.44
73,44.23,10.47
25,72.56,34.88
62,84.09,49.88
95,55.13,32.29
32,21.3,39.46
60,42.93,32.58
75,156.82999999999998,8.435
56,181.98000000000002,39.55
33,65.14,34.21
11,114.99000000000001,26.009999999999998
68,124.7,20.53
14,111.87,3.74
42,94.29,31.92
2,63.09,24.64
30,109.43,16.38
89,118.77,13.4
